cell,variant,held_block,held_block_key,seed,doc_id,arm,past_band,implicit_unseen_branch_encounter_count,n,resolved_null_count_by_reason_no_resolved_mass,resolved_valid_count,root_unseen_target_count,sum_observed_mass_by_length_0,sum_observed_mass_by_length_1,sum_observed_mass_by_length_2,sum_observed_mass_by_length_3,sum_observed_mass_by_length_4,sum_observed_mass_by_length_5,sum_observed_mass_by_length_6,sum_observed_mass_by_length_7,sum_observed_mass_by_length_8,sum_resolved_valid,sum_unseen_mass,resolved_mean,unseen_mass_mean,reason,sum_observed_mass_by_length_10,sum_observed_mass_by_length_11,sum_observed_mass_by_length_12,sum_observed_mass_by_length_9
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,12,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1583,1989,0,1989,0,0.0,1681.3880425483655,304.92557227254747,0.5181110692807885,0.2540330771302631,2.419168268532697e-07,2.765010092208602e-19,1.1132170153530683e-126,0.0,2297.669740940379,1.914240790759097,1.1551884067070786,0.0009624136705676707,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,12,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5231,5238,0,5238,0,0.0,4513.775725487695,713.6974292978265,0.8601537952628896,0.04641258502736949,0.0020414791080764776,1.891355311925168e-05,5.816406812585928e-22,2.7211320804022983e-151,5956.078397625694,9.61821844152722,1.1370901866410261,0.0018362387249956512,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,12,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1964,1989,0,1989,0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,12,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5237,5238,0,5238,0,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,13,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1585,1989,0,1989,0,0.0,1681.90501034191,305.3796691490339,0.5993596203726101,0.008127798715445628,7.250352905441091e-06,7.2502923799361495e-06,1.1294292167153144e-20,0.0,2296.7917572678766,1.1078185893229202,1.1547469870627836,0.0005569726442045853,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,13,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5228,5238,0,5238,0,0.0,4514.747986609954,711.1889957590323,1.140210256268513,0.18570153338470927,0.012060101028584898,0.003426450771353263,5.487886429855971e-20,1.5024522748193264e-164,5954.586073991257,10.72161928956042,1.1368052833125728,0.002046891807858041,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,13,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1963,1989,0,1989,0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,13,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,0,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,14,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1571,1989,0,1989,0,0.0,1681.7763430309647,304.9937485043152,0.5710830652045302,0.2585078273913517,6.301109840986269e-07,9.169952733676257e-09,9.932848645094423e-19,0.0,2297.33656514071,1.4003169328433391,1.1550208975066414,0.0007040306349136949,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,14,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5227,5238,0,5238,0,0.0,4516.385559934338,712.8287686432694,0.41953962893272245,0.04109809913886405,0.0017547250920129554,5.4220995416537716e-05,7.980435410602953e-20,1.586611544140747e-154,5954.570163000279,8.323224748233363,1.1368022457045206,0.0015890081611747544,,,,,
