cell,level,unit,aggregation,past_band,metric,mean,sd,min,max,S,reason
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,4_7,ce_ctw_original,3.89839689735359,0.012879463009821433,3.883532905821057,3.9166608713391797,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,4_7,ce_ctw_shuffled,4.370694361415753,0.013394127761891887,4.341244974455729,4.385411692039732,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,4_7,ce_root_original,4.376066543012294,0.00291986998192649,4.3711888742693805,4.381811246169492,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,4_7,ce_root_shuffled,4.370694361415753,0.013394127761891932,4.341244974455729,4.385411692039732,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,4_7,g_original,0.47766964565870296,0.012744239502238347,0.4607859239696426,0.4943518794481001,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,4_7,g_shuffled,-8.881784197001253e-17,2.808666774861361e-16,-8.881784197001252e-16,0.0,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,4_7,q,0.47766964565870307,0.012744239502238274,0.4607859239696426,0.4943518794481001,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,all,ce_ctw_original,4.023872608340336,0.025934294949579228,3.9949977282093427,4.05235678787637,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,all,ce_ctw_shuffled,4.407093654624309,0.006447811566813117,4.396124700942671,4.418692019676629,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,all,ce_root_original,4.52177059974794,0.0025675703175509663,4.517753724999884,4.526142028054866,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,all,ce_root_shuffled,4.407093654624309,0.006447811566813117,4.396124700942671,4.418692019676629,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,all,g_original,0.49789799140760344,0.02574924541800081,0.4705930267590599,0.5253238520891252,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,all,g_shuffled,0.0,0.0,0.0,0.0,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,all,q,0.49789799140760344,0.02574924541800081,0.4705930267590599,0.5253238520891252,10,
