cell,variant,held_block,held_block_key,seed,past_band,n,sum_loss_ctw_original,sum_loss_root_original,sum_loss_ctw_shuffled,sum_loss_root_shuffled,changed_symbol_eligible_slot_count,eligible_slot_count,ce_ctw_original,ce_root_original,g_original,ce_ctw_shuffled,ce_root_shuffled,g_shuffled,q,reason
a_total1,ud23,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,2,all,46634,212980.41999480198,224612.3790873128,220090.6290069358,220090.6290069358,41139,46634,4.567063086906591,4.816493954782193,0.24943086787560187,4.719531436439847,4.719531436439847,0.0,0.24943086787560187,
a_total1,ud23,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,3,all,46634,212849.3754747355,224607.8293361867,220216.10152923816,220216.10152923816,41253,46634,4.564253023003292,4.816396391821133,0.2521433688178414,4.722222016752545,4.722222016752545,0.0,0.2521433688178414,
a_total1,ud23,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,4,all,46634,212847.86641494234,224641.3794029842,220521.45722680824,220521.45722680824,41082,46634,4.564220663355971,4.817115825427461,0.2528951620714901,4.7287699366729905,4.7287699366729905,0.0,0.2528951620714901,
a_total1,ud23,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,5,all,46634,213113.07688588032,224681.26018671328,220663.21631400334,220663.21631400334,41080,46634,4.569907725819795,4.817971012281024,0.2480632864612291,4.73180975927442,4.73180975927442,0.0,0.2480632864612291,
a_total1,ud23,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,6,all,46634,213122.77726121756,224678.52838918506,220129.80309337756,220129.80309337756,41118,46634,4.570115736613149,4.817912432756895,0.24779669614374633,4.720371469172226,4.720371469172226,0.0,0.24779669614374633,
a_total1,ud23,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,7,all,46634,213532.2832850232,224734.1234504452,220352.42357111542,220352.42357111545,41195,46634,4.5788970125878805,4.819104590008259,0.2402075774203789,4.725145249627213,4.725145249627213,0.0,0.2402075774203789,
a_total1,ud23,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,8,all,46634,213242.2977747155,224772.93542570336,220751.09161510222,220751.09161510222,41134,46634,4.572678684537365,4.819936857779804,0.2472581732424386,4.733694120493679,4.733694120493679,0.0,0.2472581732424386,
a_total1,ud23,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,9,all,46634,213273.37950260646,224745.17560509965,220440.34597824168,220440.3459782417,41195,46634,4.573345188116106,4.819341587792161,0.2459963996760557,4.727030620968428,4.727030620968429,8.881784197001252e-16,0.2459963996760548,
a_total1,ud23,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,0,all,6901,29285.97205159686,33011.830208229585,31996.23831756608,31996.238317566083,6216,6901,4.243728742442669,4.783629938882711,0.5399011964400415,4.636464036743382,4.636464036743383,8.881784197001252e-16,0.5399011964400406,
a_total1,ud23,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,1,all,6901,29417.685849479793,32979.60576673962,31997.392394149334,31997.392394149334,6224,6901,4.26281493254308,4.778960406714914,0.5161454741718341,4.636631269982515,4.636631269982515,0.0,0.5161454741718341,
a_total1,ud23,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,2,all,6901,29263.24019277285,32999.6788896198,32069.786045892542,32069.786045892542,6204,6901,4.2404347475399,4.781869133403825,0.5414343858639254,4.6471215832332335,4.6471215832332335,0.0,0.5414343858639254,
a_total1,ud23,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,3,all,6901,29320.732231682636,32954.820539390574,31985.992069075197,31985.9920690752,6265,6901,4.248765719704773,4.775368865293519,0.5266031455887461,4.634979288374902,4.634979288374902,0.0,0.5266031455887461,
a_total1,ud23,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,4,all,6901,29334.226623409515,32982.2167661501,32005.61578404599,32005.61578404599,6249,6901,4.25072114525569,4.779338757593117,0.5286176123374275,4.637822892920735,4.637822892920735,0.0,0.5286176123374275,
a_total1,ud23,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,5,all,6901,29335.669779256183,33002.44327460108,31947.340243668943,31947.340243668947,6233,6901,4.250930267969307,4.782269710853656,0.5313394428843496,4.629378386272851,4.629378386272851,0.0,0.5313394428843496,
a_total1,ud23,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,6,all,6901,29344.62275560507,32966.914949256534,32078.980119432403,32078.980119432403,6240,6901,4.25222761275251,4.777121424323509,0.5248938115709993,4.648453864575047,4.648453864575047,0.0,0.5248938115709993,
a_total1,ud23,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,7,all,6901,29345.16635918807,32964.70583227201,31951.454984756936,31951.454984756936,6236,6901,4.2523063844642905,4.776801308835243,0.524494924370952,4.629974639147505,4.629974639147505,0.0,0.524494924370952,
a_total1,ud23,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,8,all,6901,29340.509652607845,32975.33877075151,31933.87716527204,31933.87716527204,6181,6901,4.251631597247913,4.778342091110202,0.5267104938622893,4.627427498228088,4.627427498228088,0.0,0.5267104938622893,
a_total1,ud23,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,9,all,6901,29292.315029655656,33002.549260990534,32045.881402241364,32045.881402241364,6232,6901,4.244647881416556,4.782285068974139,0.5376371875575829,4.6436576441445245,4.6436576441445245,0.0,0.5376371875575829,
a_total1,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,0,all,7227,31511.473652991517,34355.08183659172,33450.32818109746,33450.32818109746,6479,7227,4.360242652966863,4.753712721266324,0.39347006829946096,4.628521956703675,4.628521956703675,0.0,0.39347006829946096,
a_total1,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,1,all,7227,31461.53759521056,34374.13652375726,33410.794029624725,33410.794029624725,6475,7227,4.353333000582615,4.7563493183557854,0.4030163177731705,4.62305161610969,4.62305161610969,0.0,0.4030163177731705,
a_total1,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,2,all,7227,31440.647885633953,34361.26598873375,33401.55620089447,33401.55620089447,6489,7227,4.350442491439595,4.7545684224067735,0.4041259309671785,4.621773377735502,4.621773377735502,0.0,0.4041259309671785,
a_total1,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,3,all,7227,31361.570009672912,34361.493021717644,33396.16268214816,33396.16268214816,6547,7227,4.339500485633446,4.754599836961069,0.41509935132762354,4.621027076539112,4.621027076539112,0.0,0.41509935132762354,
a_total1,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,4,all,7227,31509.537795075914,34374.43533311965,33351.308954189444,33351.30895418945,6500,7227,4.359974788304402,4.756390664607673,0.39641587630327013,4.6148206661394005,4.614820666139401,8.881784197001252e-16,0.39641587630326924,
a_total1,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,5,all,7227,31398.989463758717,34364.17596142233,33360.79630563279,33360.7963056328,6446,7227,4.344678215547076,4.754971075331718,0.4102928597846418,4.616133430971744,4.616133430971745,8.881784197001252e-16,0.4102928597846409,
a_total1,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,6,all,7227,31490.187506558694,34375.99075403606,33309.225327512504,33309.225327512504,6516,7227,4.3572972888554995,4.756605888202028,0.3993085993465284,4.608997554657881,4.608997554657881,0.0,0.3993085993465284,
a_total1,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,7,all,7227,31404.8370623793,34382.78403529454,33308.05770696623,33308.05770696623,6508,7227,4.345487347776298,4.757545874539165,0.41205852676286714,4.6088359910012775,4.6088359910012775,0.0,0.41205852676286714,
a_total1,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,8,all,7227,31389.765649860103,34368.62078969652,33291.932775689376,33291.932775689376,6465,7227,4.343401916405162,4.755586106226168,0.4121841898210068,4.606604784238187,4.606604784238187,0.0,0.4121841898210068,
a_total1,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,9,all,7227,31417.843719488003,34364.17875464084,33332.2339483818,33332.2339483818,6469,7227,4.347287078938426,4.754971461829367,0.4076843828909409,4.612181257559402,4.612181257559402,0.0,0.4076843828909409,
oth,ud23_oth,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,0,all,16786,71542.90284645866,79019.70160408638,77036.8430972597,77036.8430972597,14964,16786,4.262057836676913,4.707476564046609,0.4454187273696961,4.589350833865108,4.589350833865108,0.0,0.4454187273696961,
oth,ud23_oth,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,1,all,16786,71548.1032683254,78994.85468597087,76891.74507603439,76891.74507603439,14966,16786,4.26236764377013,4.705996347311502,0.4436287035413722,4.580706843562158,4.580706843562158,0.0,0.4436287035413722,
oth,ud23_oth,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,2,all,16786,71551.06220504756,79031.61855160195,76834.8653302764,76834.8653302764,14940,16786,4.2625439178510405,4.708186497772068,0.44564257992102796,4.577318320640796,4.577318320640796,0.0,0.44564257992102796,
oth,ud23_oth,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,3,all,16786,71553.03785147,78992.7678875121,76871.9695440453,76871.9695440453,14945,16786,4.262661613932444,4.705872029519368,0.44321041558692365,4.5795287468155195,4.5795287468155195,0.0,0.44321041558692365,
oth,ud23_oth,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,4,all,16786,71562.88707835152,79037.56014000528,76932.74600945349,76932.74600945349,14936,16786,4.263248366397684,4.708540458715911,0.4452920923182271,4.583149410785982,4.583149410785982,0.0,0.4452920923182271,
oth,ud23_oth,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,5,all,16786,71534.35243848104,79014.33897007725,76951.41438464251,76951.41438464251,14984,16786,4.261548459339989,4.707157093415778,0.4456086340757892,4.584261550377845,4.584261550377845,0.0,0.4456086340757892,
oth,ud23_oth,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,6,all,16786,71559.9244399573,79001.84538553674,76798.38980135423,76798.38980135423,14976,16786,4.2630718717953835,4.706412807430999,0.4433409356356153,4.575145347393914,4.575145347393914,0.0,0.4433409356356153,
oth,ud23_oth,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,7,all,16786,71509.11535206708,78998.18700289982,77062.00264273283,77062.00264273283,14875,16786,4.260044998931674,4.706194864941012,0.44614986600933815,4.590849674891745,4.590849674891745,0.0,0.44614986600933815,
