cell,variant,held_block,held_block_key,seed,doc_id,past_band,n,sum_loss_ctw_original,sum_loss_root_original,sum_loss_ctw_shuffled,sum_loss_root_shuffled,changed_symbol_eligible_slot_count,eligible_slot_count,ce_ctw_original,ce_root_original,g_original,ce_ctw_shuffled,ce_root_shuffled,g_shuffled,q,reason
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,0,tlg0020.tlg002.perseus-grc1.tb.xml,4_7,887,2499.8462668999964,2519.0340049975757,2554.9127551328124,2554.9127551328124,699,887,2.8183159717023636,2.8399481454313142,0.021632173728950654,2.880397694625493,2.880397694625493,0.0,0.021632173728950654,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,0,tlg0020.tlg002.perseus-grc1.tb.xml,ge8,1190,3320.250004902709,3363.9329815860237,3407.422223468314,3407.422223468314,958,1190,2.7901260545400914,2.826834438307583,0.036708383767491526,2.863380019721272,2.863380019721272,0.0,0.036708383767491526,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,0,tlg0020.tlg003.perseus-grc1.tb.xml,4_7,576,1524.0054510650111,1564.9925361359115,1585.6137544574667,1585.6137544574667,432,576,2.6458427969878664,2.717000930791513,0.07115813380364644,2.752801657044213,2.752801657044213,0.0,0.07115813380364644,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,0,tlg0020.tlg003.perseus-grc1.tb.xml,ge8,777,2173.4599996159404,2177.7989064699286,2200.530594485591,2200.530594485591,601,777,2.797245816751532,2.8028299954567935,0.005584178705261511,2.8320857071886625,2.8320857071886625,0.0,0.005584178705261511,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,1,tlg0020.tlg001.perseus-grc1.tb.xml,4_7,942,2525.512318607865,2624.3988478267083,2683.806465023311,2683.806465023311,698,942,2.681010953936162,2.785986038032599,0.10497508409643697,2.849051449069332,2.849051449069332,0.0,0.10497508409643697,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,1,tlg0020.tlg001.perseus-grc1.tb.xml,ge8,2003,5605.688226300871,5624.174884292013,5653.337592287483,5653.337592287483,1471,2003,2.798646143934534,2.807875628702952,0.009229484768418228,2.8224351434285984,2.8224351434285984,0.0,0.009229484768418228,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,1,tlg0020.tlg002.perseus-grc1.tb.xml,4_7,887,2485.206757930096,2518.6414244014372,2508.2684281582983,2508.2684281582983,657,887,2.8018114520068726,2.8395055517490837,0.03769409974221105,2.8278110802235608,2.8278110802235608,0.0,0.03769409974221105,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,1,tlg0020.tlg002.perseus-grc1.tb.xml,ge8,1190,3300.204421679229,3363.3711544723083,3387.6646449247187,3387.6646449247187,914,1190,2.773281026621201,2.826362314682612,0.05308128806141088,2.8467770125417804,2.8467770125417804,0.0,0.05308128806141088,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,1,tlg0020.tlg003.perseus-grc1.tb.xml,4_7,576,1527.011084789816,1564.7373725163773,1612.7971695822366,1612.7971695822366,418,576,2.6510609110934307,2.7165579383964884,0.06549702730305773,2.799995086080272,2.799995086080272,0.0,0.06549702730305773,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,1,tlg0020.tlg003.perseus-grc1.tb.xml,ge8,777,2168.837866233947,2178.136339653549,2197.5939477543343,2197.5939477543343,587,777,2.7912971251402148,2.80326427239839,0.01196714725817527,2.8283062390660674,2.8283062390660674,0.0,0.01196714725817527,
